split,feature_name,unseen_category_count,unseen_categories
Validation,current_side,0,[]
Validation,side_mode,0,[]
Validation,player_card,0,[]
Validation,opponent_card,0,[]
Validation,active_card,0,[]
Validation,inactive_card,0,[]
Validation,legal_move_signature,0,[]
Validation,battle_phase,0,[]
Validation,energy_band,0,[]
Validation,damage_band,0,[]
Test,current_side,0,[]
Test,side_mode,0,[]
Test,player_card,0,[]
Test,opponent_card,0,[]
Test,active_card,0,[]
Test,inactive_card,0,[]
Test,legal_move_signature,0,[]
Test,battle_phase,0,[]
Test,energy_band,0,[]
Test,damage_band,0,[]
