source_file,card_name,move_name,damage,energy_cost,effect_text,normalized_card_name,normalized_move_name,parsed_damage,source_priority,source_file_name,move_name_valid,damage_valid,simulator_fields_supported,is_existing_benchmark_move
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,0.08,50.0,,nan,Charmander,0.08,50.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,0.1,50.0,,nan,Charmander,0.1,50.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,0.0,50.0,,nan,Charmander,0.0,50.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,0.38,50.0,,nan,Charmander,0.38,50.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,0.2,50.0,,nan,Charmander,0.2,50.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,0.55,50.0,,nan,Charmander,0.55,50.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,0.08,20.0,,nan,Eevee,0.08,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,0.1,20.0,,nan,Eevee,0.1,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,0.0,20.0,,nan,Eevee,0.0,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,0.38,20.0,,nan,Eevee,0.38,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,0.2,20.0,,nan,Eevee,0.2,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,0.55,20.0,,nan,Eevee,0.55,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,1.55,20.0,,nan,Charmander,1.55,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,0.08,20.0,,nan,Meowth,0.08,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,0.1,20.0,,nan,Meowth,0.1,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,0.0,20.0,,nan,Meowth,0.0,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,0.38,20.0,,nan,Meowth,0.38,20.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,0.12,30.0,,nan,Bulbasaur,0.12,30.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,0.1,30.0,,nan,Bulbasaur,0.1,30.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,0.0,30.0,,nan,Bulbasaur,0.0,30.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,0.52,30.0,,nan,Bulbasaur,0.52,30.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,0.28,30.0,,nan,Bulbasaur,0.28,30.0,-2,section4a_tournament_card_move_records.csv,True,True,True,False
