source_file,card_name,move_name,damage,energy_cost,effect_text,normalized_card_name,normalized_move_name,parsed_damage,source_priority,source_file_name,move_name_valid,damage_valid,simulator_fields_supported
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,Ascension,,,nan,Bulbasaur,Ascension,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,Quick Attack,,,nan,Bulbasaur,Quick Attack,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,Ascension,,,nan,Charmander,Ascension,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,Quick Attack,,,nan,Charmander,Quick Attack,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,Ascension,,,nan,Meowth,Ascension,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,Ascension,,,nan,Eevee,Ascension,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,[],,,nan,Bulbasaur,[],,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,[],,,nan,Charmander,[],,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,[],,,nan,Meowth,[],,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,[],,,nan,Eevee,[],,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,1,,,nan,Bulbasaur,1,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,1,,,nan,Charmander,1,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,1,,,nan,Meowth,1,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,1,,,nan,Eevee,1,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,Quick Attack,,,nan,Eevee,Quick Attack,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,Bind Down,,,nan,Bulbasaur,Bind Down,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,1.0,,,nan,Bulbasaur,1.0,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,1.0,,,nan,Meowth,1.0,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Charmander,1.0,,,nan,Charmander,1.0,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,1.3898305084745763,,,nan,Eevee,1.3898305084745763,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,2,,,nan,Eevee,2,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Bulbasaur,4,,,nan,Bulbasaur,4,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Eevee,0,,,nan,Eevee,0,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,0,,,nan,Meowth,0,,-2,section4a_tournament_card_move_records.csv,True,False,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,Meowth,Tuck Tail,,,nan,Meowth,Tuck Tail,,-2,section4a_tournament_card_move_records.csv,True,False,False
