page_number,annotation_index,annotation_subtype,uri,has_uri,x0,y0,x1,y1,center_x,center_y
2,0,/Link,,False,484.8,672.75,537.04,684.75,510.91999999999996,678.75
2,1,/Link,,False,484.8,654.75,537.04,666.75,510.91999999999996,660.75
2,2,/Link,,False,484.8,636.75,537.04,648.75,510.91999999999996,642.75
2,3,/Link,,False,484.8,618.75,537.04,630.75,510.91999999999996,624.75
2,4,/Link,,False,484.8,600.75,537.04,612.75,510.91999999999996,606.75
2,5,/Link,,False,484.8,582.75,537.04,594.75,510.91999999999996,588.75
2,6,/Link,,False,484.8,564.75,537.04,576.75,510.91999999999996,570.75
2,7,/Link,,False,484.8,546.75,537.04,558.75,510.91999999999996,552.75
2,8,/Link,,False,484.8,528.75,537.04,540.75,510.91999999999996,534.75
2,9,/Link,,False,484.8,510.75,537.04,522.75,510.91999999999996,516.75
2,10,/Link,,False,484.8,492.75,537.04,504.75,510.91999999999996,498.75
2,11,/Link,,False,484.8,474.75,537.04,486.75,510.91999999999996,480.75
2,12,/Link,,False,484.8,456.75,537.04,468.75,510.91999999999996,462.75
2,13,/Link,,False,484.8,438.75,537.04,450.75,510.91999999999996,444.75
2,14,/Link,,False,484.8,420.75,537.04,432.75,510.91999999999996,426.75
2,15,/Link,,False,484.8,402.75,537.04,414.75,510.91999999999996,408.75
2,16,/Link,,False,484.8,384.75,537.04,396.75,510.91999999999996,390.75
2,17,/Link,,False,484.8,366.75,537.04,378.75,510.91999999999996,372.75
2,18,/Link,,False,484.8,348.75,537.04,360.75,510.91999999999996,354.75
2,19,/Link,,False,484.8,330.75,537.04,342.75,510.91999999999996,336.75
2,20,/Link,,False,484.8,312.75,537.04,324.75,510.91999999999996,318.75
2,21,/Link,,False,484.8,294.75,537.04,306.75,510.91999999999996,300.75
2,22,/Link,,False,484.8,276.75,537.04,288.75,510.91999999999996,282.75
2,23,/Link,,False,484.8,258.75,537.04,270.75,510.91999999999996,264.75
2,24,/Link,,False,484.8,240.75,537.04,252.75,510.91999999999996,246.75
2,25,/Link,,False,484.8,222.75,537.04,234.75,510.91999999999996,228.75
2,26,/Link,,False,484.8,204.75,537.04,216.75,510.91999999999996,210.75
2,27,/Link,,False,484.8,186.75,537.04,198.75,510.91999999999996,192.75
2,28,/Link,,False,484.8,168.75,537.04,180.75,510.91999999999996,174.75
2,29,/Link,,False,484.8,150.75,537.04,162.75,510.91999999999996,156.75
2,30,/Link,,False,484.8,132.75,537.04,144.75,510.91999999999996,138.75
2,31,/Link,,False,484.8,114.75,537.04,126.75,510.91999999999996,120.75
2,32,/Link,,False,484.8,96.75,537.04,108.75,510.91999999999996,102.75
5,0,/Link,,False,484.8,672.75,537.04,684.75,510.91999999999996,678.75
5,1,/Link,,False,484.8,654.75,537.04,666.75,510.91999999999996,660.75
5,2,/Link,,False,484.8,636.75,537.04,648.75,510.91999999999996,642.75
5,3,/Link,,False,484.8,618.75,537.04,630.75,510.91999999999996,624.75
5,4,/Link,,False,484.8,600.75,537.04,612.75,510.91999999999996,606.75
5,5,/Link,,False,484.8,582.75,537.04,594.75,510.91999999999996,588.75
5,6,/Link,,False,484.8,564.75,537.04,576.75,510.91999999999996,570.75
5,7,/Link,,False,484.8,546.75,537.04,558.75,510.91999999999996,552.75
5,8,/Link,,False,484.8,528.75,537.04,540.75,510.91999999999996,534.75
5,9,/Link,,False,484.8,510.75,537.04,522.75,510.91999999999996,516.75
5,10,/Link,,False,484.8,492.75,537.04,504.75,510.91999999999996,498.75
5,11,/Link,,False,484.8,474.75,537.04,486.75,510.91999999999996,480.75
5,12,/Link,,False,484.8,456.75,537.04,468.75,510.91999999999996,462.75
5,13,/Link,,False,484.8,438.75,537.04,450.75,510.91999999999996,444.75
5,14,/Link,,False,484.8,420.75,537.04,432.75,510.91999999999996,426.75
5,15,/Link,,False,484.8,402.75,537.04,414.75,510.91999999999996,408.75
5,16,/Link,,False,484.8,384.75,537.04,396.75,510.91999999999996,390.75
5,17,/Link,,False,484.8,366.75,537.04,378.75,510.91999999999996,372.75
5,18,/Link,,False,484.8,348.75,537.04,360.75,510.91999999999996,354.75
5,19,/Link,,False,484.8,330.75,537.04,342.75,510.91999999999996,336.75
5,20,/Link,,False,484.8,312.75,537.04,324.75,510.91999999999996,318.75
5,21,/Link,,False,484.8,294.75,537.04,306.75,510.91999999999996,300.75
5,22,/Link,,False,484.8,276.75,537.04,288.75,510.91999999999996,282.75
5,23,/Link,,False,484.8,258.75,537.04,270.75,510.91999999999996,264.75
5,24,/Link,,False,484.8,240.75,537.04,252.75,510.91999999999996,246.75
5,25,/Link,,False,484.8,222.75,537.04,234.75,510.91999999999996,228.75
5,26,/Link,,False,484.8,204.75,537.04,216.75,510.91999999999996,210.75
5,27,/Link,,False,484.8,186.75,537.04,198.75,510.91999999999996,192.75
5,28,/Link,,False,484.8,168.75,537.04,180.75,510.91999999999996,174.75
5,29,/Link,,False,484.8,150.75,537.04,162.75,510.91999999999996,156.75
5,30,/Link,,False,484.8,132.75,537.04,144.75,510.91999999999996,138.75
5,31,/Link,,False,484.8,114.75,537.04,126.75,510.91999999999996,120.75
5,32,/Link,,False,484.8,96.75,537.04,108.75,510.91999999999996,102.75
8,0,/Link,,False,484.8,672.75,537.04,684.75,510.91999999999996,678.75
8,1,/Link,,False,484.8,654.75,537.04,666.75,510.91999999999996,660.75
8,2,/Link,,False,484.8,636.75,537.04,648.75,510.91999999999996,642.75
