card_name,card_id,notebook_key,cell_index,matched_moves,move_match_count,hp_candidates,evidence_type
Bulbasaur,1,notebook04,37,[],0,[70.0],UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,249,notebook07,7,[],0,"[70.0, 200.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,736,notebook07,7,[],0,"[70.0, 200.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,249,notebook07,8,[],0,"[70.0, 200.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,736,notebook07,8,[],0,"[70.0, 200.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,2,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,3,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,4,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,5,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,7,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,8,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,11,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,13,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,14,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,15,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,16,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,17,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,18,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,19,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,72,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,75,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,82,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,86,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,199,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
Eevee,212,notebook07,100,[],0,"[40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 200.0, 220.0, 270.0, 280.0, 330.0]",UPSTREAM_NAME_MOVE_ID_PROXIMITY
