routed_move
Bind Down
Quick Attack
Bind Down
Quick Attack
Bind Down
Quick Attack
Bind Down
Quick Attack
Bind Down
Quick Attack
Bind Down
Quick Attack
Bind Down
Ascension
Bind Down
Ascension
Bind Down
Ascension
Bind Down
Ascension
Bind Down
Quick Attack
Bind Down
Quick Attack
Bind Down
Quick Attack
Bind Down
Quick Attack
Quick Attack
Bind Down
Quick Attack
Ascension
Bind Down
Ascension
Bind Down
Ascension
Bind Down
Ascension
Bind Down
Ascension
Bind Down
Live Coal
Quick Attack
Live Coal
Quick Attack
Live Coal
Live Coal
Quick Attack
Live Coal
Quick Attack
Live Coal
Ascension
Live Coal
Ascension
Live Coal
Quick Attack
Live Coal
Quick Attack
Live Coal
Quick Attack
Live Coal
Quick Attack
Live Coal
Quick Attack
Ascension
Live Coal
Ascension
Live Coal
Ascension
Live Coal
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Bind Down
Tuck Tail
Bind Down
Tuck Tail
Bind Down
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Pass
Tuck Tail
Quick Attack
Quick Attack
Ascension
Bind Down
Ascension
Bind Down
Ascension
Live Coal
Ascension
Live Coal
Ascension
Live Coal
Ascension
Live Coal
Ascension
Live Coal
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
Ascension
Pass
