variant_name,current_side,examples,source_scenarios,average_value_target,average_search_seconds,average_sample_weight
balanced_midgame,Opponent,86,86,-164.88372093023256,0.006504216279122428,1.6335
balanced_midgame,Player,20,20,-615.0,0.00622203000093572,1.21
counterfactual_side_early,Opponent,20,20,80.0,0.0060753949990611945,1.3365
counterfactual_side_early,Player,86,86,40.46511627906977,0.006456915114878969,0.99
counterfactual_side_late,Opponent,20,20,570.0,0.006111095000232985,1.3365
counterfactual_side_late,Player,86,86,258.54651162790697,0.006789677905671371,0.99
critical_hp_decision,Opponent,86,86,312.19116279069766,0.007412401161313563,1.8785000000000003
critical_hp_decision,Player,20,20,-560.0,0.005964694998692665,1.3915
early_pressure,Opponent,86,86,-22.46511627906977,0.0066662337211350065,1.6335
early_pressure,Player,20,20,-98.0,0.00604161000082962,1.21
late_game_prize_pressure,Opponent,86,86,-252.4018604651163,0.0071711546509948525,1.8785000000000003
late_game_prize_pressure,Player,20,20,-550.0,0.006821300000592545,1.3915
opening_one_energy,Opponent,86,86,-40.46511627906977,0.006604283722185184,1.6335
opening_one_energy,Player,20,20,-80.0,0.005933090001053595,1.21
opening_zero_energy,Opponent,86,86,0.0,0.006569354650415538,1.6335
opening_zero_energy,Player,20,20,0.0,0.00624797000200483,1.21
opponent_under_pressure,Opponent,86,86,-332.4186046511628,0.006679139538941484,1.6335
opponent_under_pressure,Player,20,20,593.0,0.006863374999375024,1.3915
player_under_pressure,Opponent,86,86,487.6170930232558,0.007520734884459365,1.8785000000000003
player_under_pressure,Player,20,20,-633.0,0.006272529999841896,1.21
